"BINS","S_PAGE"
"2B1     ","  491"
"2B2     ","  492"
"2B3     ","  493"
"2B4     ","  494"
"2B5     ","  495"
"2B6     ","  496"
"2B7     ","  497"
"2B8     ","  498"
"2B9     ","  499"
"2B10    ","  500"
"2B11    ","  501"
"2B12    ","  502"
"2B13    ","  503"
"2B14    ","  504"
"2B16    ","  505"
"2B17    ","  506"
"2B18    ","  507"
"2B19    ","  508"
"2B20    ","  509"
"2B21    ","  510"
"2B22    ","  511"
"2B23    ","  512"
"2B24    ","  513"
"2B25    ","  514"
"2B26    ","  515"
"2B27    ","  516"
"2B28    ","  517"
"2B29    ","  518"
"2B30    ","  520"
"2B31    ","  521"
"2B32    ","  522"
"2B33    ","  523"
"2B34    ","  524"
"2B35    ","  525"
"2B36    ","  526"
"2B37    ","  529"
"2B39    ","  531"
"2B40    ","  532"
"2B41    ","  533"
"2B42    ","  534"
"2B43    ","  535"
"2B44    ","  536"
"2B45    ","  537"
"2B46    ","  538"
"2B47    ","  539"
"105     ","  540"
"106     ","  541"
"107     ","  543"
"108     ","  544"
"111     ","  545"
"112     ","  546"
"113     ","  547"
"114     ","  549"
"117     ","  550"
"118     ","  551"
"119     ","  552"
"120     ","  553"
"121     ","  554"
"122     ","  555"
"123     ","  556"
"124     ","  557"
"125     ","  558"
"126     ","  559"
"127     ","  560"
"128     ","  561"
"135     ","  563"
"136     ","  564"
"137     ","  565"
"138     ","  566"
"139     ","  567"
"140     ","  568"
"141     ","  569"
"165     ","  570"
"166     ","  571"
"168     ","  572"
"169     ","  573"
"172     ","  574"
"175     ","  576"
"201     ","  577"
"202     ","  578"
"203     ","  579"
"204     ","  580"
"205     ","  581"
"206     ","  583"
"207     ","  584"
"208     ","  585"
"209     ","  586"
"210     ","  587"
"211     ","  588"
"212     ","  589"
"213     ","  591"
"214     ","  593"
"215     ","  594"
"216     ","  595"
"217     ","  596"
"218     ","  597"
"219     ","  599"
"220     ","  600"
"221     ","  601"
"222     ","  602"
"223     ","  604"
"224     ","  606"
"225     ","  608"
"226     ","  610"
"227     ","  612"
"228     ","  614"
"229     ","  615"
"230     ","  617"
"231     ","  619"
"232     ","  621"
"233     ","  622"
"234     ","  624"
"235     ","  626"
"238     ","  627"
"239     ","  628"
"239BOX  ","  633"
"240     ","  634"
"241     ","  635"
"242     ","  637"
"243     ","  639"
"244     ","  641"
"245     ","  642"
"246     ","  644"
"247     ","  645"
"248     ","  647"
"249     ","  649"
"250     ","  651"
"251     ","  653"
"252     ","  656"
"253     ","  659"
"254     ","  662"
"255     ","  664"
"256     ","  666"
"257     ","  668"
"258     ","  669"
"259     ","  670"
"260     ","  671"
"261     ","  672"
"262     ","  673"
"263     ","  674"
"266     ","  675"
"267     ","  676"
"268     ","  677"
"269     ","  678"
"270     ","  679"
"271     ","  680"
"272     ","  681"
"BATT1   ","  682"
"BC      ","  683"
"BC1     ","  684"
"BC2     ","  685"
"BC8     ","  686"
"BC9     ","  687"
"BC10    ","  688"
"BULK    ","  689"
"ROOM    ","  690"
"SD      ","  691"
"SEEJIM  ","  692"
"SHOP    ","  693"
"SO1     ","  694"
"SO2     ","  695"
"SO3     ","  696"
"TECH    ","  697"
"TIRE    ","  698"
"TPC1    ","  701"
"TPC2    ","  702"
"TPC3    ","  703"
"TPC4    ","  705"
"TPC5    ","  706"
"TPC6    ","  707"
"TPC7    ","  708"
"TPC8    ","  710"
"TPC9    ","  711"
"TPC10   ","  712"
"TPC11   ","  713"
"TPC12   ","  714"
"TPC13   ","  715"
"TPC14   ","  716"
"TPC15   ","  717"
"TPC16   ","  718"
"TPC17   ","  720"
"TPC18   ","  722"
"TPC19   ","  724"
"TPC20   ","  726"
"TPC21   ","  728"
"TPC23   ","  731"
"TPC24   ","  733"
"TPC25   ","  738"
"TPC27   ","  740"
"TPC28   ","  741"
"TPC29   ","  742"
"TPC30   ","  743"
"TPC31   ","  744"
"TPC32   ","  745"
"TPCD1   ","  747"
"TPCD2   ","  748"
"TPCD4   ","  749"
"TPCD5   ","  751"
"TPCD6   ","  752"
"TPCD7   ","  753"
"TPCD8   ","  754"
"TPCD9   ","  755"
"TPCD10  ","  756"
"TPCD11  ","  757"
"TPCD12  ","  758"
"TPCL1   ","  759"
"TPCL2   ","  760"
"TPCL3   ","  761"
"TPDC14  ","  762"
"TRD     ","  763"
"**** Phy","  763"
" Functio","  763"
"Account:","  763"
" Functio","  763"
"Enter an","  763"
