"LINE","PAGE","PART-NO"
6,"1   ","00113-WT131-7ST"
7,"1   ","00210-90003"
8,"1   ","00840-11107"
9,"1   ","8271-140"
10,"1   ","8284-140"
11,"1   ","12453-16602"
12,"1   ","16276-01001"
13,"1   ","16276-01056"
14,"1   ","16276-01089"
15,"1   ","19912-19100"
16,"1   ","19912-30003"
17,"1   ","19912-80016"
18,"1   ","21145"
19,"1   ","21155"
20,"1   ","22425"
21,"1   ","23294"
22,"1   ","23808"
23,"1   ","23811"
24,"1   ","24525"
25,"1   ","25048"
26,"1   ","25158"
27,"1   ","25385"
28,"1   ","25459-51860"
29,"1   ","26100"
30,"1   ","26160"
31,"1   ","27276"
32,"1   ","30251"
33,"1   ","33991-01929"
37,"10  ","92936-00160"
38,"10  ","92936-00162"
39,"10  ","92936-00171"
40,"10  ","93165-91164"
41,"10  ","93165-95161"
42,"10  ","97652-00108"
43,"10  ","97652-00631"
44,"10  ","97824-10005"
45,"10  ","97824-10130"
46,"10  ","98142-61131"
47,"10  ","808639-203272"
48,"10  ","808639-401418"
49,"10  ","3814560"
50,"10  ","DT000-00593-FS"
51,"10  ","DT000-00621-BS"
52,"10  ","DT000-00910-BS"
53,"10  ","DT000-01785-BS"
54,"10  ","DT000-01991-MI"
55,"10  ","DT000-02260-DU"
56,"10  ","DT000-02352-BS"
57,"10  ","DT000-03364-MI"
58,"10  ","DT000-05107-MI"
59,"10  ","DT000-05124-YK"
60,"10  ","DT000-05132-YK"
61,"10  ","DT000-05810-HK"
62,"10  ","DT000-05994-HKU"
63,"10  ","DT000-06189-MI"
64,"10  ","DT000-06273-MI"
68,"100 ","31230-20191"
69,"100 ","31230-35091"
70,"100 ","31230-35110"
71,"100 ","31230-52020"
72,"100 ","31230-60241"
73,"100 ","31231-20090"
74,"100 ","31232-22010"
75,"100 ","31236-12020"
76,"100 ","31236-30060"
77,"100 ","31250-04030"
78,"100 ","31250-04091"
79,"100 ","31250-05101"
80,"100 ","31250-12200-84"
81,"100 ","31250-20140-84"
82,"100 ","31250-33061"
83,"100 ","31250-35161-84"
84,"100 ","31250-35352-84"
85,"100 ","31250-35370-84"
86,"100 ","31250-35381-84"
87,"100 ","31250-35400-84"
88,"100 ","31250-35451"
89,"100 ","31270-33010"
90,"100 ","31310-35051"
91,"100 ","31321-12040"
92,"100 ","31321-52010"
93,"100 ","31410-34012"
94,"100 ","31410-35310"
